size,path,n_simp_iters,canonical_maxiter,high_maxiter,wall_canonical_s,compliance_canonical,wall_high_s,compliance_high,rel_diff,agreement
216k,fp64,120,1000,5000,46.5883834999986,2.1721963314672372,117.65942499999801,2.1721963393165638,3.6135437575412665e-09,True
216k,fused,120,1000,5000,87.52910250000423,2.1738765239715576,112.40757290000329,2.173837900161743,1.776756666703591e-05,True
512k,fp64,120,1000,5000,364.3821377999993,1.8253464584788064,399.2192087000003,1.824751300384972,0.0003261584708605536,True
512k,fused,120,1000,5000,91.79488980000315,1.8276430368423462,49.59541000000172,1.8270655870437622,0.0003160531305930361,True
