compliance,mode,n_elem,path,size,vram_gb,wall_s
2.1721963588119424,SIMP-120,216000,fp64,216k,1.92919921875,80.36025259999587
2.173813581466675,SIMP-120,216000,fp32,216k,1.86474609375,80.48424119999981
2.1738200187683105,SIMP-120,216000,fused,216k,1.89208984375,17.512546800004202
1.8253608281660145,SIMP-120,512000,fp64,512k,2.42333984375,137.92188650000026
1.8277055025100708,SIMP-120,512000,fp32,512k,2.35107421875,57.853298399997584
1.8276617527008057,SIMP-120,512000,fused,512k,2.41162109375,24.798839000002772
